0,1,"Jokamoldearen ekologia eta eboluzioa saguzarretan ."
0,2,"Saguzarrak ( Chiroptera ordena ) dira hegan egiteko ahalmena duten ugaztun bakarrak ."
0,3,"Egun munduan 1100 espezietik gora identifikatu direlarik *"
0,4,"ugaztunen arteko bigarren talde dibertsoena osatzen dute *"
0,5,"eta ziurki aberastasun ekologiko handiena erakusten duena ."
0,6,"Beraien artean gehienak intsektujaleak diren arren *"
0,7,"badira nektarraz * lorez * fruituz * arrainez * herpetofaunaz * txoriz * beste ugaztun txikiez edota odolaz ere elikatzen diren espezieak ."
0,8,"Batzuk kobazulo eta lurpeko bestelako barrenbideak erabiltzen dituzte babesleku gisa *"
0,9,"baina badira labarretako arrakaletan * zuhaitz-zuloetan * harripetan edota eraikuntzetan ere babesten direnak ;"
0,10,"baditugu espazio zabaletan eta altueran ehizatzen dutenak * ur-azalean gaineran & arrantzan & dihardutenak * bai eta oihan trinkoenetako adarren artean jarduteko espezializatuak ere *"
0,11,"eta guztiek moldapen bereizgarriak dituzte hegal-eredu * hegakera eta ultrasoinuen erabileran ."
0,12,"Dibertsitate ikaragarri honek esparru ezin hobea eskaintzen du"
0,13,"eboluzioan eragiten duten aldagai morfologiko * etologiko eta ekologikoak * eta haien arteko elkarrekintza ulertzeko ."
0,14,"Gainera *"
0,15,"saguzar gehienak espezie kolonialak izaki *"
0,16,"aukera aparta eskeintzen dute ugaztunen antolakuntza eta elkarrekintza sozialak ikasteko * estrategia sexualetiatik hasi * eta ikasketa-prozesu edo bestelako informazio-transferentziatara ."
0,17,"Bestalde *"
0,18,"espezie gehienen nitxo ekologiko estuak eta espezializazioa direla - eta *"
0,19,"ingurumen-egoeraren adierazle bikainak dira ."
0,20,"Horren erakusgarri * saguzar gehienek kontserbazio-arazo larriak dituzte mundu osoan *"
0,21,"eta ondorioz * makina bat ageri dira galtzorian dauden espezieen zerrendatan ."
0,22,"Honek haien kontserbaziorako kudeaketa exigitzen du legez herrialde askotan ."
0,23,"Halaz ere * animalia txikiak * & isilak & * hegalariak eta gautarrak izateak asko mugatu du saguzarren ikerketa zientifikoa ."
0,24,"Azken urteetako garapen teknologikoak haien ezagutzan sakontzea ahalbidetu du * batez ere ultrasoinuen analisirako tresnek * infragorrizko bideoek * irrati-transmisore txikiek * Informazio Georafikorako Sistemek eta teknika molekularrek izan duten garapenari esker ."
0,25,"Teknologia hauek garestiak dira ordea *"
0,26,"eta ondorioz beraien erabilera ikerketa-zentruetara mugatu da gehienbat ."
0,27,"Ondorioz * saguzarren inguruko ezagumendua urria da oraindik ."
0,28,"Ezjakintasun honek bultzatu zuen * hein handi batean * gure lan-taldeak egun jorratzen duen bidea ."
0,29,"Ezagutza honek berez duen interes zientifikoaz gain * berebizikoa baita"
0,30,"mehatsupean dauden espezieen eta habitaten kontserbaziorako neurriak hartuko badira ."
1,31,"Gure taldean batez ere saguzarren ekologia trofikoa eta ekologia espazialean espezializatu gara *"
0,32,"hots * animaliok habitata eta baliabideak nola erabiltzen dituzten aztertzen *"
0,33,"beraien moldaerak * nitxoen bereizketak eta lehiakidetza posibleak arakatuz ."
0,34,"Eta horretarako batez ere arriskupeko espezieak hartu ditugu aztergai ."
0,1,"Aranzadi herpetologia behatokia : esparru berri bat sustraitzen ."
1,2,"Euskal Herriko lur eta itsas eremuetan eta hauetatik haratago herpetologiaren alorreko ikerketa lan ezak * Aranzadi Zientzia Elkarteak * bere parte den eta esparru horretan lan egiten duen Herpetologia Behatokiaren sorrera bultzatu zuen 2006. urtean ."
0,3,"Behatokiaren helburu nagusia * natur ondarearen eta bioaniztasunaren kontserbazioa da"
0,4,"eta horretarako * honako lan-ildoak jorratzen dira :"
0,5,"Lehenik * kontserbazioari aplikaturiko oinarrizko ikerkuntza ."
0,6,"Esparru honetan gure inguruneko anfibio eta narrasti espezie mehatxatuak teknika molekularren bidez ikertzen dira ."
0,7,"Metodo honen bitartez espezie mehatxatuen historia ebolutiboa edo gaur egungo egitura genetikoa jakin dezakegu"
0,8,"eta beraz * kudeaketa plan egokiak diseinatu ."
0,9,"Honen adibide dira * hegoaldeko zuhaitz igela * apo lasterkaria * baso-igel jauzkaria * baso-igel piriniarra edo sugandila iberiarrari buruzko ikerketa genetikoak ."
0,10,"Horretaz gain * teknika hauek *"
0,11,"anfibioen gainbehera eragin duten eta eragin dezaketen gaixotasunen identifikaziorako ere"
0,12,"erabili izan dira ."
0,13,"Bigarren ikerketa lerroa * kontserbaziori lotuta dagoen anfibio zein narrasti populazioen jarraipena eta beraien biziraupena bermatzeko habitataren kudeaketa dira ."
0,14,"Espezie desberdinen bilakaera eta duten mehatxu egoerari buruzko informazioa lortzeko *"
0,15,"populazioen epe luzeko jarraipenak egitea ezinbestekoa da ."
0,16,"Aurrez aipatutako espezieen jarraipenak burutzen dira eta baita beste zenbait espezierena ere * hala nola : apoarmatuak * itsas dortokak eta atzerritik gizakiak Euskal Herriratutako espezie arrotzak Ibizako sugandila eta apoarmatuak kasu ."
0,17,"Azkenik * ikerketen dibulgazioa * herpetologiaren eremuko formakuntza eta gizartearen sentsibilizazioa bermatzen duten hainbat ekintza burutzen dira * hala nola : Anfibio eta narrastien inguruko jakintza ikastaroak * unibertsitate-praktikak * hitzaldiak * argitalpenak * ikastaro teknikoak eta zientzia-topaketak ."
0,1,"Nekazal ikerketa euskal autonomi erkidegoan ."
0,2,"NEIKER-Tecnalia * Nekazal Ikerketa eta Garapenerako Euskal Erakundea * irabazteko asmorik ez duen erakunde publiko bat da *"
0,3,"eta Eusko Jaurlaritzaren Ingurumen * Lurralde Plangintza * Nekazaritza eta Arrantza Sailari atxikita dago ."
1,4,"NEIKER-Tecnaliaren lan arloa nekazal eta elikadura zientzien ikerketa eta transferentzian oinarritzen da *"
0,5,"sektore honi balio erantzia emateko asmoz"
0,6,"eta Erakundearen helburuak ondoko hauek dira :"
0,7,"1 ) Nekazaritzako ekoizpen-sistemen produktibitatea eta lehiakortasuna hobetzea ;"
0,8,"2 ) Ustiapenetan kudeaketa-teknologia berriak garatu eta aplikatzea ;"
0,9,"3 ) Nekazaritzako elikagaien eraldaketa-industriari * balio bereizgarria duten produktuei eta * oro har * kontsumitzaileei dagozkien kalitate-baldintzak betetzea ."
0,10,"NEIKER-Teknalia 2 Negozio-Unitate ( Nekazaritza arloko Berrikuntza eta Ingurumena eta Natur Baliabideak ) eta 6 departamentu zientifikoren inguruan oinarritzen da ( Landareen produkzio eta babesa ; Animalien Ekoizpena ; Animalien osasuna ; Bioteknologia ; Ekosistemak y Ekoteknologia ) ."
0,11,"Nekazaritza arloko Berrikuntzaren Unitateari dagokionez * erronka nagusiak ondoko hauek dira : ekoizpen aukerak aurkitzea * bioteknologiaren bidez balio erantzi handiagoko produktuak lortzea * elikagaien kalitatea eta kalte-gabezia ziurtatzea * ekoizpen sistemak hobetzea * abere eta landareen osasuna kontrolatzea * etb ."
0,12,"Guzti hau enpresen balioa sortu eta lehiakortasuna hobetzeko helburuarekin ."
0,13,"Ingurumena eta Natur Baliabideen Unitatearen helburuei dagokienez * ondoko hauek dira : natur baliabideen ebaluazio eta kudeaketan erreferente bezala ezartzea eta nekazaritzarekin duen harremanetan agente teknologiko izatea ."
0,14,"Beraz * NEIKER-Tecnaliaren lana ondoko sektore hauei bideratua dago : mahats eta ardogintza * kultibo estentsiboak * barazkigintza * basogintza * ardi eta behi abeltzaintza * hegazti-hazkuntza * basa-fauna * farmazia-industria * agrokimika eta mintegiak ."
0,1,"Neurotransmisoreentzako hartzaileen azterketa heriotz-ondoko giza garunean ."
0,2,"Gaixotasun psikiatrikoen oinarri biologikoaren gako nagusiak garuneko neurotransmisoreak eta hauentzako hartzaileak dira ."
0,3,"Izan ere * gaixotasun psikiatriko askotan zenbait hartzaileren handipena edo gutxipena aurkitu izan da gaixoen garunean ."
0,4,"Gainera * gaur egun erabiliak eta eraginkorrak diren neurofarmako askoren ekintza mekanismoa hartzaile hauek zentzu batean edo bestean modulatzean datza ."
0,5,"Beraz *"
0,6,"oraindik argitzeke dauden gaixotasun psikiatrikoen etiologiaren ezagutzan aurrerapausoak ematen jarraitzeko"
0,7,"garrantzi handikoa da giza garunean dauden hartzaileen ikerketa ."
0,8,"Bestetik ezinbestekoa da gaixo psikiatrikoen garunak aztertzeko baliabideak izatea ."
0,9,"Horretarako garun bankuak eratu dira *"
0,10,"asaldura psikiatrikoak pairatu dituzten pertsonen garunak heriotza ondoren gorde eta kudeatuko dituztenak ."
